PeakID (cmd=annotatePeaks.pl PLACseq_anchor2.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
808	chr11	21500001	21550000	+	0	NA	Intergenic	L1_Mus3|LINE|L1	-13820	NR_028259	237694	Mm.72926	NM_172792	ENSMUSG00000078962	4932414J04Rik	-	RIKEN cDNA 4932414J04 gene	ncRNA
1685	chr7	102400001	102450000	+	0	NA	intron (NM_009287, intron 7 of 11)	ID_B1|SINE|B4	-16695	NM_009103	20133	Mm.197486	NM_009103	ENSMUSG00000030978	Rrm1	RnrM1	ribonucleotide reductase M1	protein-coding
1792	chr4	134100001	134150000	+	0	NA	intron (NM_026257, intron 11 of 14)	intron (NM_026257, intron 11 of 14)	3733	NM_080559	73723	Mm.22240	NM_080559	ENSMUSG00000028843	Sh3bgrl3	1110004L05Rik|AU022188	SH3 domain binding glutamic acid-rich protein-like 3	protein-coding
1729	chr4	16150001	16200000	+	0	NA	intron (NR_045765, intron 2 of 6)	Lx7|LINE|L1	10890	NR_045765	100415915	Mm.387180	NR_045765	ENSMUSG00000085112	A530072M11Rik	-	RIKEN cDNA gene A530072M11	ncRNA
1363	chr10	5150001	5200000	+	0	NA	intron (NM_001079686, intron 5 of 54)	L1MA5A|LINE|L1	19707	NM_001079686	64009	Mm.331626	NM_022027	ENSMUSG00000096054	Syne1	8B|A330049M09Rik|BE692247|C130039F11Rik|CPG2|KASH1|Myne1|mKIAA1756|myne-1	spectrin repeat containing, nuclear envelope 1	protein-coding
266	chr1	189850001	189900000	+	0	NA	3' UTR (NM_008976, exon 19 of 19)	3' UTR (NM_008976, exon 19 of 19)	47291	NM_026796	226830	Mm.156895	NM_026796	ENSMUSG00000026603	Smyd2	1110020E07Rik|4930402C15|KMT3C|Zmynd14	SET and MYND domain containing 2	protein-coding
1122	chr14	30450001	30500000	+	0	NA	intron (NM_028981, intron 1 of 46)	MTE2b|LTR|ERVL-MaLR	-4565	NM_133761	75901	Mm.28733	NM_133761	ENSMUSG00000021962	Dcp1a	1110066A22Rik|4930568L04Rik|AU019772|D14Ertd817e|Mitc1|SMIF	decapping mRNA 1A	protein-coding
687	chr2	152800001	152850000	+	0	NA	intron (NM_001289716, intron 2 of 2)	intron (NM_001289716, intron 2 of 2)	3489	NR_149254	12048	Mm.238213	NM_009743	ENSMUSG00000007659	Bcl2l1	Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1	BCL2-like 1	protein-coding
474	chr16	65450001	65500000	+	0	NA	Intergenic	Lx5|LINE|L1	-45512	NM_008849	18736	Mm.355440	NM_008849	ENSMUSG00000004842	Pou1f1	GHF-1|Hmp1|Pit-1|Pit1|Pit1-rs1|dw|dwarf	POU domain, class 1, transcription factor 1	protein-coding
1148	chr14	62000001	62050000	+	0	NA	Intergenic	Lx7|LINE|L1	267979	NM_173419	239133	Mm.127330	NM_173419	ENSMUSG00000048281	Dleu7	BC038059	deleted in lymphocytic leukemia, 7	protein-coding
